"id","birth_date","email","full_name","level","password","username"
"1","1999-02-05","admin@gmail.com","Admin Adminov","EXPERT","$2a$10$MgsvGPbIbh/YBGpsHBy/y.cCSzWyvwKh.OicNiJTogRCdio.FqMdK","admin"
"2","1998-03-10","moderator@gmail.com","Moderator Moderatorov","INTERMEDIATE","$2a$10$0KJh3RNMqBrEMUMUPATyruuby9.dOPVOEv3HD97xFrxB4NyYMvCZG","moderator"
"3","1997-04-22","user@gmail.com","User Userov","BEGINNER","$2a$10$jwW5FuTKpkeK3rrrp.SR7O9QqDOUCNwCO1SqUft9dV87PgD2HpuKy","user"
"4","1988-12-22","pesho@gmail.com","Pesho Peshev","BEGINNER","$2a$10$m73rsghb8FRxc7.yVyzuRed7pSgUiMae199Q1M7.4vluzaVkQAyae","pesho"
"5","2000-10-10","asd@asd","Asd Asd","INTERMEDIATE","$2a$10$t6dfzeZlnzN2L4JNhfKHKeBtz00BELJ.F4H4QHSnuJmehu2YcMq8S","asd"
"6","1992-11-04","penab@gmail.com","Pena Bavnata","BEGINNER","$2a$10$1zmGz19ZMOaINaGkqJV4KuoNLVdnNeoxaUHD/8dVHUPRaPVpUSiR.","penka"
"7","1998-01-28","zuk77ave@narod.ru","Ave Zukierman","INTERMEDIATE","$2a$10$xSv6RCMHeb8wupLWEoDrEeLj1KUCbz9QdxNDdWZVrn/15fKq6WyIa","cmckennan0"
"8","1971-05-03","benbur@ning.com","Benedicta Burnapp","BEGINNER","$2a$10$11pR7DDOCtSxqqQhughXnOmOJPWIeDwMpA5QXobb8V66BQgqUoXYq","lhellings1"
"9","1972-01-18","petboul@usda.gov","Petey Boule","INTERMEDIATE","$2a$10$el/TUO3mpiZ8gRWDNpts4.Ekz5wPw6rn6kAFcpgcKZNtoshJ9VF5a","pprangnell2"
"10","2003-02-02","heycorn@furl.net","Cornelia Heynen","BEGINNER","$2a$10$bwvqblvdi4/.vu0e0kb5y.odAjI0Cwlr49JdxuYsoIY6nseCX3akK","screswell4"
"11","1995-09-05","kass5kass@taobao.com","Kass Mattersley","EXPERT","$2a$10$O.rejdro2duZxhX8DGyusO8p81MMWAM9B.fXthhuFFNXPcencFY8W","hvoden5"
"12","2002-07-07","carmonv@elpais.com","Carmon Veryard","BEGINNER","$2a$10$W4xTI/o6XYpPPcZq.RekpuioZAQawLB4/qB925QtTMcc68yyrkMKi","jleibold6"
"13","1999-11-15","shel7kopec@aol.com","Shel Kopec","INTERMEDIATE","$2a$10$.BFUFwwBb4rZdRum9FbcVemJyOb/4cU0cbeOpgQRf2jlT4WOtnhRe","ldrowsfield7"
"14","1998-12-21","billkenn8@google.fr","Billie Kennifick","INTERMEDIATE","$2a$10$rPJGYE09Q2K5GZaoDAT8vOC1G4NQT6z6wG6yQ6LPCGcSuibNaeFGa","gmcghie8"
